m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
35.6827,108.7809,1044.0591,61.4509,44.7844,1052.6140,136.6050,45.3446,1144.2175
35.1236,108.7462,1043.4192,61.1801,44.7757,1052.2248,136.2345,45.3016,1143.2977
34.5643,108.7114,1042.7787,60.9092,44.7670,1051.8349,135.8638,45.2586,1142.3769
34.0047,108.6765,1042.1373,60.6381,44.7582,1051.4444,135.4927,45.2155,1141.4551
33.4448,108.6416,1041.4948,60.3668,44.7494,1051.0529,135.1215,45.1723,1140.5320
32.8845,108.6065,1040.8512,60.0953,44.7406,1050.6603,134.7499,45.1291,1139.6076
32.3240,108.5713,1040.2063,59.8236,44.7318,1050.2666,134.3780,45.0859,1138.6816
31.7631,108.5360,1039.5600,59.5518,44.7228,1049.8715,134.0058,45.0425,1137.7540
31.3422,108.4979,1039.0054,59.3582,44.7027,1049.6031,133.7797,44.9966,1137.1982
31.0650,108.4729,1038.6706,59.2109,44.7020,1049.4187,133.5920,44.9842,1136.7921
30.8711,108.4544,1038.4801,59.0849,44.6867,1049.2851,133.4732,44.9872,1136.5862
30.7238,108.4480,1038.2831,59.0304,44.6702,1049.2337,133.3915,45.0000,1136.4451
30.6167,108.4463,1038.1848,58.9734,44.6597,1049.1676,133.3364,45.0097,1136.3677
30.5284,108.4379,1038.0459,58.9692,44.6437,1049.1637,133.3359,45.0196,1136.3902
30.5139,108.4323,1037.9410,58.9433,44.6142,1049.1216,133.3439,44.9890,1136.3886
30.5044,108.4288,1037.8768,58.8942,44.5895,1049.0819,133.3802,44.9820,1136.4159
30.4980,108.4266,1037.8423,58.8827,44.5687,1049.0537,133.4022,44.9818,1136.4569
30.4935,108.4254,1037.8315,58.9113,44.5501,1049.1153,133.4103,44.9836,1136.4905
30.4900,108.4249,1037.8423,58.9114,44.5374,1049.1771,133.4056,44.9876,1136.5217
30.4857,108.4071,1037.8259,58.8833,44.5519,1049.2483,133.3728,45.0109,1136.4874
30.4812,108.4106,1037.8288,58.8913,44.5854,1049.3606,133.3537,45.0114,1136.4423
30.4747,108.4182,1037.8009,58.9344,44.6332,1049.4911,133.3498,45.0133,1136.4230
30.4667,108.4151,1037.7845,58.9446,44.6509,1049.5540,133.3620,45.0000,1136.4387
30.4547,108.4225,1037.7597,58.9979,44.6818,1049.6578,133.3904,44.9870,1136.4781
30.4365,108.4417,1037.7221,59.0287,44.6907,1049.7212,133.3473,44.9799,1136.3911
30.4083,108.4521,1037.6656,59.0426,44.7035,1049.7536,133.3213,44.9747,1136.3507
30.3667,108.4523,1037.6194,59.0418,44.7224,1049.7602,133.3079,44.9705,1136.3497
30.3732,108.4564,1037.6344,59.0256,44.7260,1049.7426,133.3048,44.9667,1136.3877
30.3588,108.4540,1037.6151,58.9912,44.7150,1049.6976,133.3026,44.9695,1136.3985
30.3209,108.4447,1037.5577,59.0071,44.7278,1049.7158,133.3008,44.9794,1136.3835
30.3232,108.4501,1037.5701,59.0016,44.7262,1049.7015,133.2991,44.9980,1136.3397
30.3659,108.4590,1037.6342,58.9736,44.7100,1049.6520,133.3023,45.0213,1136.3034
30.3857,108.4617,1037.6624,58.9927,44.7167,1049.6573,133.3121,45.0383,1136.2755
30.3858,108.4586,1037.6591,58.9876,44.7072,1049.6196,133.3343,45.0483,1136.2869
30.3662,108.4614,1037.6431,59.0369,44.7332,1049.7193,133.3726,45.0530,1136.3390
30.3933,108.4694,1037.6895,59.0693,44.7457,1049.7858,133.4286,45.0566,1136.4040
30.4010,108.4558,1037.6799,59.0899,44.7468,1049.8297,133.4247,45.0555,1136.3762
30.3907,108.4353,1037.6403,59.1023,44.7367,1049.8581,133.4470,45.0537,1136.3665
30.4311,108.4278,1037.6812,59.1088,44.7379,1049.8747,133.4163,45.0430,1136.2929
30.4584,108.4208,1037.7112,59.1105,44.7508,1049.8818,133.4219,45.0340,1136.3211
30.4771,108.4132,1037.7350,59.1069,44.7530,1049.8813,133.3724,45.0376,1136.3017
30.4901,108.4037,1037.7561,59.0975,44.7451,1049.8725,133.3386,45.0524,1136.2786
30.4995,108.3907,1037.7777,59.0806,44.7255,1049.8538,133.3219,45.0545,1136.3014
30.5064,108.3720,1037.8028,59.0531,44.6911,1049.8218,133.3135,45.0556,1136.3270
30.5126,108.3682,1037.8348,59.0111,44.6604,1049.7701,133.3119,45.0559,1136.3591
30.5184,108.3665,1037.8587,59.0212,44.6442,1049.7887,133.3170,45.0167,1136.4029
30.5247,108.3666,1037.8780,59.0114,44.6348,1049.7811,133.3570,44.8926,1136.4594
30.5243,108.3655,1037.8824,58.9980,44.6250,1049.7610,133.3917,44.7676,1136.4967
30.5253,108.3781,1037.9052,58.9606,44.6187,1049.7094,133.3679,44.8122,1136.5451
30.5276,108.4066,1037.9497,58.8928,44.6148,1049.6173,133.3471,44.8657,1136.5361
30.5306,108.4196,1038.0039,58.8570,44.6179,1049.5686,133.3311,44.9085,1136.5140
30.5347,108.4259,1038.0478,58.8470,44.6283,1049.5547,133.3171,44.9477,1136.4743
30.5403,108.4267,1038.0884,58.8610,44.6396,1049.5733,133.3093,44.9679,1136.4615
30.5482,108.4219,1038.1319,58.8268,44.6217,1049.5286,133.3062,44.9726,1136.4727
30.5565,108.4290,1038.1102,58.8132,44.6118,1049.5111,133.3006,44.9842,1136.4580
30.5695,108.4308,1038.0943,58.8177,44.6082,1049.5175,133.2912,45.0049,1136.4142
30.5893,108.4449,1038.1087,58.8409,44.6103,1049.5485,133.2857,45.0222,1136.4079
30.6195,108.4856,1038.1753,58.8866,44.6183,1049.6089,133.2860,45.0215,1136.4609
30.5896,108.4792,1038.0856,58.8885,44.6179,1049.6093,133.2906,45.0105,1136.5710
30.5687,108.4692,1038.0242,58.9206,44.6248,1049.6484,133.3077,45.0109,1136.6183
30.5529,108.4546,1037.9689,58.9881,44.6400,1049.7325,133.3112,45.0213,1136.5715
30.5398,108.4445,1037.9411,59.0282,44.6503,1049.7761,133.3013,45.0329,1136.4221
30.5263,108.4009,1037.9169,59.0479,44.6682,1049.7855,133.2977,45.0360,1136.3210
30.5106,108.3652,1037.8787,59.0499,44.6858,1049.7625,133.2994,45.0310,1136.2506
30.4903,108.3304,1037.8313,59.0341,44.6817,1049.7034,133.3067,45.0171,1136.1986
30.4617,108.2908,1037.7662,58.9977,44.6552,1049.5981,133.3187,45.0016,1136.1427
30.4200,108.2518,1037.6920,58.9344,44.6019,1049.4287,133.3372,44.9821,1136.0729
