m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
30.4765,108.3488,1037.7985,59.1241,44.8123,1049.8667,133.2283,45.0184,1136.0443
30.4747,108.2760,1037.6799,59.1241,44.8123,1049.8667,133.2283,45.0184,1136.0443
30.4765,108.3488,1037.7985,58.6782,44.5710,1049.2768,133.2176,45.0768,1135.9659
30.4747,108.2760,1037.6799,58.6782,44.5710,1049.2768,133.2176,45.0768,1135.9659
30.4765,108.3488,1037.7985,59.1241,44.8123,1049.8667,133.2075,45.0657,1135.8778
30.4686,108.3667,1037.5663,58.6782,44.5710,1049.2768,133.2831,44.9243,1136.4902
30.0592,108.4250,1037.2073,58.6792,44.6197,1049.2752,133.2312,44.9662,1136.0589
30.4765,108.3488,1037.7985,58.1949,44.5189,1047.9188,133.5608,45.2214,1136.5371
30.4765,108.3488,1037.7985,58.1527,44.4970,1047.1579,133.7380,45.3345,1136.6592
30.0555,108.2666,1037.2119,58.1492,44.4258,1047.1046,134.2634,45.1280,1137.3590
30.5071,108.2289,1038.6490,58.9520,44.5246,1046.7824,134.6038,44.8531,1137.8765
30.8954,108.3265,1038.2680,59.7564,44.1388,1046.6731,135.1395,44.4242,1137.2564
29.2130,107.6050,1035.9114,61.4092,43.4479,1047.3081,135.2037,43.7867,1134.0517
24.5610,105.3901,1028.1085,62.8883,42.5378,1045.0398,136.0252,42.6231,1129.7791
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
16.7715,97.3622,1017.8509,63.6673,37.6347,1039.2634,135.0879,37.6096,1111.9436
12.3515,90.9994,1008.8611,63.3095,35.2500,1033.9831,134.3289,33.5540,1100.3483
8.0766,84.9348,998.7067,63.3172,31.2391,1028.6111,133.3620,29.0747,1088.4263
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
2.8535,71.0635,980.7153,63.2290,22.1045,1016.5083,129.4502,18.6691,1058.7066
-1.6974,62.4299,966.7813,63.5195,17.2112,1009.6479,126.2815,13.2237,1040.8999
-6.1151,54.2916,951.7499,62.6395,12.6835,1002.8265,122.0380,8.1510,1020.9296
-11.6832,47.2667,935.8118,60.4175,8.5116,992.8190,117.0993,3.6544,1000.7014
-18.0911,41.0208,920.0449,57.9645,4.7669,981.4995,112.0344,0.3904,979.8627
-25.1283,35.9278,902.5960,54.8422,2.6856,970.6078,105.8658,-1.8519,958.2216
-32.9539,32.6986,886.2005,51.5726,1.5692,959.2033,99.3385,-3.1677,936.8450
-41.4726,31.1811,869.7665,47.1747,1.0731,945.9992,92.6125,-3.7520,915.2302
-49.9000,31.3730,853.1659,42.5859,1.6159,934.0364,85.1954,-3.2817,893.8995
-58.2840,33.1514,837.4462,38.0664,2.9573,921.0407,77.8117,-1.9344,873.5162
-66.7173,35.9188,821.9003,32.9394,5.1946,909.2159,70.2694,0.0353,853.8976
-75.3597,39.5650,808.3074,27.1935,7.8480,896.4795,63.1612,2.5080,836.8520
-83.8536,44.0638,796.4874,20.7901,11.4660,882.7529,56.1304,5.8177,821.8567
-92.0333,49.6553,787.0607,14.8130,15.8811,870.8224,49.9960,9.7574,809.6617
-99.1245,56.0718,778.0264,7.9893,19.9757,858.6485,44.3032,13.6038,799.5077
-104.7840,62.2343,770.8932,2.6839,23.9989,849.1517,39.1675,17.3133,790.6253
-109.5504,68.3823,764.5949,-1.8664,27.0873,841.7707,33.7994,20.2508,781.5759
-112.1708,74.9857,760.3822,-5.0438,30.1619,835.5779,30.7606,23.0452,775.2894
-112.8771,81.1470,756.9444,-7.5396,33.1504,830.8261,27.4930,25.5665,769.7024
-111.5136,87.5205,754.1876,-10.1048,35.7329,826.8450,24.9150,27.9170,765.6752
-108.9628,93.0815,752.6433,-12.4548,38.9199,823.1312,23.6254,30.9167,764.6725
-106.2354,98.2970,752.1553,-15.1516,42.7669,818.9141,22.6830,34.3897,765.7675
-103.6335,102.3938,752.3516,-17.8044,46.1441,813.8063,22.3976,38.0104,769.2395
-103.6117,103.3711,752.2706,-19.4825,47.2385,809.9764,22.8354,39.4301,769.7293
-103.3869,103.3607,751.2243,-19.9013,48.0326,808.5209,22.9513,40.2260,769.7566
-102.7446,103.2531,750.7879,-20.1326,48.7397,808.2456,22.9553,40.9614,769.9636
-102.3204,103.3715,751.2887,-20.7451,48.8744,808.0122,22.9569,41.0368,770.3969
-102.0204,103.6964,751.2781,-21.0286,49.2321,807.2054,22.9717,41.4657,770.8778
