m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
812.3378,503.7162,847.5000,304.5000,946.0000,476.0000
812.3378,503.7162,847.0000,304.0000,945.5000,476.0000
812.7391,503.9493,847.5000,304.5000,945.0000,477.0000
812.0000,504.0000,847.5000,304.5000,944.0000,478.0000
812.0000,505.0000,847.5000,305.0000,944.0000,477.5000
812.0909,504.9091,846.5000,305.1250,944.0000,477.5000
812.0000,505.0000,846.0000,304.9167,943.5000,478.5000
811.9579,505.4346,846.0000,305.5000,944.0000,477.0000
811.5000,505.5000,845.1429,305.5000,943.4051,477.1139
811.0000,506.0000,845.0000,305.0000,943.0000,477.5000
811.0000,505.5000,845.0000,305.0000,943.0000,478.0000
811.5000,505.5000,844.5000,304.5000,943.5000,477.5000
811.0909,505.9091,845.0000,305.0000,943.5000,477.5000
811.5000,506.0000,845.0000,304.5000,943.5000,477.0000
811.7397,506.0950,845.0000,304.5000,943.9211,477.2105
811.9579,506.4346,845.5000,304.8333,944.0000,478.0000
812.5000,506.5000,846.0000,304.5000,944.0000,478.0000
812.7143,506.7143,845.5000,304.5000,944.0000,478.5000
812.1250,506.2188,845.6593,304.4292,944.0000,478.5000
812.3636,506.6364,846.0000,304.5000,944.0000,478.5000
812.0000,507.0000,846.0000,304.0000,944.0000,478.0000
812.0000,506.5000,846.2619,303.8810,944.0000,478.5000
812.1957,506.8044,846.0000,303.5000,943.9211,478.2105
812.5000,506.5000,846.0000,303.5000,943.9211,478.2105
812.1667,506.8333,846.0000,302.9167,944.0000,478.5000
812.1957,506.8044,846.0000,303.0000,944.0000,478.5000
812.5000,507.5000,846.0000,302.5000,944.0000,479.0000
812.5000,506.5000,847.0000,303.0000,944.1562,479.0000
812.8696,506.7717,847.0000,302.5000,944.5000,478.5000
812.7143,506.7143,847.0000,302.0000,944.0000,479.5000
812.6667,506.4167,847.0000,301.5000,944.0000,479.5000
812.5000,506.5000,847.2222,301.7778,944.1875,479.5000
812.5000,506.5000,847.2222,301.7778,944.5000,479.5000
812.5000,507.0000,847.5000,302.0000,944.5000,478.5000
812.8333,506.8333,847.5000,301.5000,944.6364,478.6364
812.5000,506.5000,847.5000,301.5000,944.6795,479.1154
812.0909,506.9091,847.5000,301.5000,944.6364,478.6364
812.5000,507.0000,847.5000,301.0000,944.5000,478.5000
813.0000,507.5000,847.5000,301.5000,944.5000,479.0000
812.4403,507.0821,847.5000,301.0000,944.5000,479.0000
812.3000,506.7000,847.5000,301.0000,944.5000,479.0000
812.3636,506.6364,847.5000,301.0000,944.5000,479.0000
812.1667,506.8333,847.5000,301.0000,944.5000,478.5000
812.3636,506.6364,847.3824,300.6176,944.5000,478.5000
812.1667,506.8333,847.6364,300.2727,944.5000,479.0000
812.5000,507.5000,847.8797,300.5253,944.5000,479.0000
812.1667,506.8333,847.8529,300.1471,944.5000,479.0000
812.1667,506.8333,847.8529,300.1471,944.5000,478.5000
812.1667,506.8333,847.9286,300.2143,944.5000,478.5000
812.1667,506.8333,848.0000,300.3125,944.3421,478.9737
812.5000,507.5000,848.0000,301.0000,944.5000,479.0000
812.1667,506.8333,848.5000,302.5000,944.5000,479.0000
nan,nan,nan,nan,nan,nan
812.1667,506.8333,848.5000,297.5000,944.5000,479.5000
812.1667,506.8333,848.8077,299.6154,944.5000,479.0000
812.1667,506.8333,848.5000,299.0000,944.5000,479.5000
812.1667,506.8333,848.5000,299.0000,944.5000,479.5000
812.5000,507.5000,848.5652,298.7826,944.5000,479.5000
812.0000,507.0000,848.6287,299.1733,944.4730,479.0676
812.0000,507.0000,848.6667,299.3333,944.5000,479.5000
812.0000,507.0000,848.5000,299.0000,944.3333,479.4167
812.0000,507.0000,848.5000,299.5000,944.3333,479.4167
812.0000,507.0000,848.5000,299.0000,944.5000,479.5000
812.0000,507.0000,848.5000,299.0000,944.3333,479.4167
812.0000,507.0000,848.8529,299.1471,944.3333,479.4167
812.0000,507.5000,848.6667,299.3333,944.4474,479.1316
812.0000,508.0000,848.5000,299.5000,944.3462,479.3846
812.1250,507.2188,848.5000,299.0000,944.5000,479.5000
812.0000,508.0000,848.5000,299.5000,944.4474,479.1316
812.0000,508.0000,848.5000,299.5000,944.5000,479.5000
811.6981,507.4717,848.5000,299.5000,944.5000,479.5000
812.0000,508.0000,848.5000,299.5000,944.5000,479.5000
812.0000,508.0000,848.5000,299.0000,944.3636,479.3636
812.0000,507.5000,848.4221,299.1623,944.3462,479.3846
811.5000,507.5000,848.4348,299.2174,944.3462,479.3846
811.5000,507.5000,848.5000,299.0000,944.3333,479.0000
811.5000,507.5000,848.8529,299.1471,944.3333,479.0000
811.8696,507.7717,848.5000,298.3571,944.3333,479.4167
811.5000,507.5000,848.6630,298.9783,944.3333,479.4167
812.0000,508.0000,848.6630,298.9783,944.3333,479.4167
811.5000,507.5000,848.6875,299.0000,944.5000,479.5000
811.5000,507.5000,848.8529,299.1471,944.3333,479.4167
811.5000,507.5000,848.8529,299.1471,944.5000,479.0000
811.7391,507.9493,848.5000,299.0000,944.5000,479.0000
811.7143,507.9286,848.6364,299.2727,944.3333,479.4167
811.8846,507.8846,848.6667,299.3333,944.5000,479.5000
811.8696,507.7717,848.5000,299.0000,944.6667,479.5833
812.0000,508.0000,848.9286,299.2143,944.5000,479.5000
811.8696,507.7717,848.9286,299.2143,944.5000,480.0000
811.5000,507.5000,848.9286,299.2143,944.5000,482.0000
811.5000,507.5000,848.9286,299.2143,945.0000,485.0000
811.6981,507.4717,848.9286,299.2143,944.0000,474.6250
812.0714,507.9286,848.9706,299.0294,944.5000,477.5000
811.5000,507.5000,848.8529,299.1471,944.5000,480.0000
811.5000,507.5000,849.1136,298.7727,944.5000,479.5000
811.5000,507.5000,849.0217,299.0435,944.5000,480.0000
811.5000,507.5000,848.8182,299.0000,944.5000,479.5000
811.6667,507.4167,849.5000,299.0000,944.5000,480.0000
811.5405,507.7838,849.5000,299.0000,944.5000,480.0000
811.5405,507.7838,849.5000,299.0000,944.5000,479.5000
811.2241,507.6379,849.5000,299.0000,944.6429,479.6429
810.8803,508.8239,849.5000,299.0000,944.5000,479.5000
811.0000,512.0000,849.5000,299.0000,944.5270,479.9324
811.5000,503.5000,849.7581,298.9194,944.5270,479.9324
811.5000,505.5000,849.9286,299.2143,945.0000,479.0000
811.0000,507.0000,850.0000,299.0000,944.9138,479.3448
811.1250,507.2188,849.5000,298.5000,944.5270,479.9324
811.3636,507.6364,849.5000,298.5000,944.5270,479.9324
811.3636,507.6364,849.6782,298.5792,944.6429,479.6429
811.1667,507.8333,849.5652,298.7826,944.5270,479.9324
811.3636,507.6364,849.5000,299.0000,944.5270,479.9324
811.4403,508.0821,849.8529,299.1471,944.5000,480.0000
