x,y,z
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
-50.6106,98.0773,1164.0540
-50.2147,96.6181,1164.6467
-50.2117,97.1249,1164.2818
-50.4019,97.3518,1164.4256
-50.3615,97.2127,1164.3322
-50.1021,97.4429,1164.6473
-50.6060,97.2025,1164.2256
-50.5570,97.3202,1163.8833
-50.4397,97.3947,1164.0736
-50.6295,97.3313,1163.8481
-50.4475,97.2074,1164.0907
-50.8346,97.3566,1163.9601
-50.5423,98.0406,1164.2388
-50.4487,96.7615,1163.8399
-50.6516,96.9022,1163.3713
-50.5394,97.1649,1163.7324
-50.6817,97.1555,1163.9592
-50.5317,97.2075,1164.0091
-50.5630,97.1880,1163.8139
-50.6947,97.2554,1163.8910
-50.6418,97.2790,1163.9139
-50.5784,97.3798,1163.7889
-50.7987,97.3419,1163.8266
-50.6849,97.3825,1163.8498
-50.7076,97.2588,1164.2400
-50.7150,97.3272,1163.9524
-50.7010,97.3834,1164.0829
-50.7803,97.3084,1164.0541
-50.8465,97.2096,1164.0766
-50.8496,97.3182,1163.8483
-50.8729,97.3108,1163.7940
-50.8744,97.3389,1163.6608
-50.8729,97.4262,1163.9348
-51.0642,97.4119,1163.5732
-50.6970,97.3805,1163.8875
-50.8318,97.4022,1163.5919
-50.9709,97.4572,1163.4596
-50.8663,97.3508,1163.6333
-50.9438,97.4641,1163.7936
-51.0403,97.3645,1163.8800
-51.0548,97.4417,1163.9066
-51.1583,97.4185,1163.9966
-51.4374,97.4731,1163.6857
-51.1747,97.4973,1164.0201
-51.3241,97.6366,1163.8121
-51.3985,97.5848,1163.5562
-51.1602,97.5759,1164.0060
-51.3310,97.5669,1164.0399
-51.2742,97.5989,1163.7030
-50.8761,97.6094,1163.9427
-50.9985,97.5963,1163.9685
-51.3258,97.3954,1163.6503
-51.1262,97.4130,1163.6430
-51.0032,97.4409,1163.8781
-51.1861,97.4253,1163.6928
-51.1076,97.4597,1163.7471
-51.2328,97.4163,1163.6375
-50.9169,97.4546,1163.8405
-50.8186,97.7108,1163.6009
-50.6480,97.5532,1163.8091
-51.2002,97.3087,1163.4210
-51.1177,97.5617,1163.9681
-51.0900,97.4602,1163.2975
-51.2412,97.2853,1163.4348
-51.0678,97.5631,1163.3716
-51.1729,97.4685,1163.3574
-50.9778,97.5142,1163.6733
-51.1200,97.5276,1163.3890
-51.0134,97.3120,1163.7134
-51.0143,97.4939,1163.5164
-50.9910,97.3972,1163.5129
-50.8110,97.4585,1163.7065
-51.1920,97.3867,1163.3060
-50.9822,97.4062,1163.4431
-50.9394,97.4496,1163.5428
-50.6153,97.6727,1163.9093
-50.6855,97.5915,1163.9465
-50.5609,97.4940,1164.2706
-50.8958,97.5014,1163.8062
-51.0055,97.4879,1163.8111
-50.7071,97.7599,1164.1371
-50.8869,97.6266,1163.9350
-50.8538,97.6657,1163.8148
-50.7146,97.6988,1163.9221
-50.9249,97.6100,1163.8421
-50.9672,97.6632,1163.9477
-50.9793,97.7594,1163.6278
-51.1969,97.6634,1163.4241
-51.0059,97.5722,1163.8285
-50.8156,97.8647,1163.8773
-50.9511,97.6706,1163.5490
-50.7000,97.7201,1164.1637
-50.9016,97.7840,1163.8204
-50.9704,97.6633,1163.6483
-50.7638,97.7350,1163.8177
-50.9193,97.8215,1163.8615
-50.9946,97.7214,1163.5667
-50.9654,97.6259,1163.5348
