m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
473.5000,517.0000,614.5000,511.0000,687.9820,327.6655
474.0000,517.8438,614.0000,511.7500,688.0000,328.0000
474.3857,517.9643,613.5000,512.0000,689.0000,328.5000
473.5000,518.0000,613.0000,512.0000,688.5000,328.5000
473.9146,518.8171,613.0000,512.0000,687.8077,328.6538
473.6538,518.8654,612.5000,512.0000,687.5000,329.0000
473.5000,519.0000,612.5000,512.0000,686.5625,329.0000
473.7727,519.4091,612.2732,511.8608,686.0000,329.0000
473.4444,519.1111,612.5000,512.0000,686.7500,329.0000
473.8931,519.8103,613.0000,511.8438,686.5000,328.5000
474.0833,519.3056,613.0000,511.8438,685.5000,328.0000
473.9146,519.8171,613.0000,511.8438,685.7500,328.0000
474.0000,519.8438,612.5000,512.0000,685.7500,328.0000
474.0000,519.8438,612.5000,512.0000,685.5899,328.0169
474.5000,520.0000,613.0000,512.8438,685.9706,328.0882
474.5000,520.0000,613.0000,512.8438,686.0000,328.0938
474.5000,520.0000,613.0000,512.8438,685.8077,327.6538
474.0000,520.0000,612.6000,513.0000,685.8077,327.6538
474.0000,520.0000,612.5000,513.0000,685.5000,327.5000
473.7727,520.4091,612.5000,513.0000,685.5000,327.5000
473.8684,520.4474,612.3333,513.0000,686.0000,327.3333
473.8684,520.4474,612.0000,513.0000,685.4460,326.8784
474.0000,520.5000,612.5000,513.0000,685.5000,326.5000
473.9390,520.4756,612.0000,513.0000,685.5000,326.5000
474.0000,520.8438,612.0000,513.0000,685.5000,326.5000
474.0000,520.5000,611.6600,513.0500,685.5000,326.5000
474.0455,520.5000,612.8701,513.7338,685.5000,326.0000
474.5000,520.3000,612.5000,513.6875,685.7500,326.0000
474.1299,520.7338,612.5000,513.8750,685.8333,325.5000
474.7222,520.3889,612.8701,513.7338,686.5000,325.5000
474.1923,520.3205,612.5000,513.8750,686.8684,325.4474
474.5000,520.5000,612.5000,513.5000,685.7500,325.0000
474.2778,520.6111,612.5000,513.5000,685.8077,324.6538
474.3846,520.6538,612.5000,513.6875,686.0000,324.5000
474.2736,520.3302,612.5000,513.6875,686.5000,324.5000
474.4167,520.6667,612.5000,513.6875,686.8684,324.4474
474.3889,520.2778,612.5000,513.6875,687.0000,324.5000
474.1205,520.7349,612.8701,513.7338,686.5000,324.5000
474.2778,520.3889,612.8701,513.7338,687.0000,324.5000
474.5000,520.5000,613.0000,513.8438,685.9706,324.0882
474.5000,520.8750,612.5000,513.5000,685.9706,324.0882
474.5000,520.8750,612.9048,513.7381,686.0455,323.7727
474.5000,520.5000,612.9048,513.7381,685.8077,323.6538
474.5000,520.5000,613.0000,513.7500,686.0789,323.6053
474.5000,520.5000,612.6538,513.8654,686.0000,323.5000
474.5000,520.5000,612.9172,513.8179,686.0000,323.5000
474.2419,520.9516,612.5000,513.8750,686.8077,323.6538
474.5000,520.5000,612.5000,513.5000,686.5192,323.3654
474.5000,520.5000,612.4167,513.6667,687.0000,323.5000
474.5000,520.8750,612.5000,513.8750,687.0000,323.3333
474.1923,520.6538,612.6538,513.8654,687.0000,323.3333
474.5000,520.5000,612.5000,513.8750,687.0000,323.0000
474.5000,520.5000,612.6538,513.8654,686.5000,322.7857
474.5000,520.5000,612.5000,513.8750,687.0000,322.5714
474.5000,520.5000,613.0000,513.7500,687.0000,322.5000
474.5000,520.5000,612.5000,513.8750,687.5000,322.5000
474.3571,520.3571,613.0000,514.0000,687.0000,322.5000
474.5000,520.5000,613.0000,514.0000,686.5455,322.3636
474.7333,520.9333,613.3857,514.0357,687.0000,322.3333
474.5000,520.8750,613.0000,513.8438,686.0000,322.0000
474.5000,520.8750,612.6000,514.0000,687.0000,322.3333
474.5000,520.8750,612.6600,514.0500,687.0000,322.3333
474.7143,520.9286,613.0000,514.4118,686.5000,322.5000
474.7143,520.9286,612.5000,514.3824,686.8077,322.6538
474.5000,520.8750,612.6143,513.9643,686.5000,322.5000
474.0000,521.0000,612.5000,514.0000,686.5000,322.5000
474.0000,521.0000,612.5000,514.0000,685.9706,322.0882
474.4149,521.2660,612.5000,514.0000,686.5000,322.3000
474.0000,521.0000,612.5000,514.0000,686.1471,322.3235
474.2442,521.1977,613.0000,514.0000,686.5000,322.3000
474.4149,521.2660,612.5000,514.0000,687.0000,322.5000
474.0000,521.0000,612.5000,514.3824,685.9706,322.0882
474.0882,521.0882,612.5000,514.0000,686.8684,322.4474
474.3125,521.3125,612.5000,514.0000,686.0000,322.0938
474.0882,521.0882,612.5000,514.0000,685.9706,322.0882
474.0000,521.0000,612.5000,514.0000,687.0000,322.5000
474.5000,521.0000,612.5000,514.3824,686.5000,322.0000
474.4249,521.1590,612.5000,514.0000,686.7500,322.0000
474.5000,521.0000,612.5000,514.0000,687.0000,322.3333
474.1000,521.1000,612.5000,514.0000,687.0000,322.5000
