x,y,z
116.8693,99.4549,1620.4453
116.2691,99.4117,1619.4708
115.6686,99.3685,1618.4953
115.0677,99.3251,1617.5183
114.4665,99.2817,1616.5399
113.8649,99.2381,1615.5596
113.2628,99.1945,1614.5773
112.6603,99.1507,1613.5927
112.2400,99.0986,1612.9034
111.9339,99.0795,1612.4407
111.7146,99.0641,1612.1757
111.5728,99.0591,1611.9810
111.4633,99.0579,1611.8601
111.4167,99.0506,1611.7999
111.4006,99.0178,1611.7256
111.3894,99.0002,1611.6873
111.3915,98.9885,1611.6765
111.4076,98.9795,1611.7187
111.4035,98.9749,1611.7706
111.3709,98.9849,1611.7808
111.3632,99.0037,1611.8158
111.3794,99.0323,1611.8575
111.3866,99.0330,1611.8886
111.4215,99.0457,1611.9478
111.4062,99.0562,1611.9172
111.3861,99.0652,1611.8850
111.3582,99.0726,1611.8647
111.3518,99.0746,1611.8824
111.3263,99.0693,1611.8556
111.3144,99.0759,1611.8285
111.3119,99.0871,1611.8056
111.3209,99.0951,1611.7948
111.3453,99.1083,1611.7976
111.3539,99.1071,1611.7828
111.3878,99.1238,1611.8507
111.4456,99.1359,1611.9396
111.4578,99.1291,1611.9429
111.4700,99.1128,1611.9325
111.4781,99.1044,1611.9244
111.4954,99.1028,1611.9571
111.4782,99.1020,1611.9590
111.4631,99.1006,1611.9536
111.4510,99.0853,1611.9664
111.4365,99.0593,1611.9758
111.4178,99.0422,1611.9820
111.4283,99.0137,1612.0252
111.4465,98.9470,1612.0593
111.4570,98.8790,1612.0700
111.4269,98.9045,1612.0798
111.3837,98.9435,1612.0516
111.3593,98.9729,1612.0432
111.3494,99.0009,1612.0384
111.3553,99.0171,1612.0616
111.3406,99.0081,1612.0666
111.3352,99.0125,1612.0396
111.3392,99.0220,1612.0130
111.3580,99.0387,1612.0325
111.3960,99.0627,1612.1225
111.3843,99.0538,1612.1329
111.3985,99.0524,1612.1455
111.4261,99.0580,1612.1364
111.4347,99.0639,1612.0697
111.4360,99.0526,1612.0117
111.4300,99.0410,1611.9459
111.4155,99.0146,1611.8666
111.3890,98.9738,1611.7535
111.3458,98.9179,1611.5968
111.3164,98.8466,1611.4153
111.2958,98.7542,1611.1881
111.2439,98.5999,1610.8248
111.1831,98.3885,1610.2815
111.1414,98.0723,1609.5331
111.0897,97.5921,1608.4780
111.0079,96.8604,1606.9931
110.8737,95.7854,1604.8256
110.5314,94.2060,1601.4777
109.7798,91.9192,1596.4841
108.4906,88.7151,1589.4235
106.6450,84.4181,1580.3156
104.7842,80.1226,1571.1686
102.4119,74.7997,1559.7573
99.5945,68.6306,1546.3377
96.2990,61.8017,1530.9631
92.9898,54.9805,1515.5594
88.8715,48.0125,1498.0622
83.8776,41.3192,1478.7760
77.9717,35.2652,1457.9759
71.2318,30.1508,1436.0480
63.6964,26.2297,1413.3363
55.4720,23.6342,1390.2262
46.6583,22.4040,1366.9693
37.4255,22.5511,1343.9660
27.9396,23.9994,1321.5458
18.3126,26.6177,1300.0686
8.7007,30.2605,1279.8758
-0.7042,34.8028,1261.2210
-9.6401,40.0482,1244.3778
-17.9033,45.7073,1229.3388
-25.2351,51.5254,1216.2141
-31.5140,57.3125,1204.9451
-36.5614,63.0170,1195.5499
-40.4810,68.5490,1187.8552
-43.3863,73.8562,1181.7279
-45.4460,78.8795,1177.0447
-46.9124,83.4757,1173.5472
-47.9539,87.3652,1170.9534
-48.7160,90.2705,1168.9510
-49.2244,92.3840,1167.4908
-49.5574,93.9260,1166.5354
