x,y,z
-49.8054,95.0417,1165.9671
-49.9943,95.8894,1165.6320
-50.1584,96.5176,1165.5017
-50.3631,96.9689,1165.3892
-50.5538,97.3030,1165.3712
-50.7438,97.5465,1165.3869
-50.9112,97.7086,1165.4114
-51.0287,97.8295,1165.5391
-51.0829,97.9108,1165.6779
-51.1144,97.9548,1165.7416
-51.1611,97.9642,1165.7018
-51.1894,97.9969,1165.6235
-51.2080,98.0220,1165.5004
-51.2021,98.0668,1165.3636
-51.1638,98.1346,1165.2435
-51.1555,98.1677,1165.1040
-51.1831,98.1842,1164.9937
-51.2421,98.1817,1164.8764
-51.2971,98.1712,1164.7553
-51.3390,98.1471,1164.6715
-51.3627,98.1114,1164.5998
-51.3945,98.0641,1164.5275
-51.3958,98.0226,1164.4754
-51.4036,97.9952,1164.4165
-51.3879,97.9783,1164.3559
-51.3495,97.9587,1164.2820
-51.2659,97.9275,1164.2187
-51.1907,97.8837,1164.1749
-51.1266,97.8465,1164.1789
-51.0519,97.7969,1164.1966
-51.0314,97.7512,1164.1446
-51.0387,97.6965,1164.0623
-51.0297,97.6432,1163.9994
-50.9977,97.5982,1163.9753
-50.9550,97.5675,1164.0029
-50.9123,97.5476,1164.0479
-50.8844,97.5250,1164.0630
-50.8757,97.5208,1164.0616
-50.8709,97.4897,1164.0901
-50.8967,97.4516,1164.0854
-50.9201,97.4138,1164.0712
-50.9206,97.3747,1164.0772
-50.9215,97.3339,1164.0654
-50.9120,97.3134,1164.0497
-50.9078,97.3009,1164.0138
-50.8895,97.2760,1164.0139
-50.8652,97.2584,1164.0127
-50.8416,97.2430,1164.0070
-50.8102,97.2530,1164.0021
-50.7867,97.2666,1163.9705
-50.7740,97.2436,1163.9330
-50.7642,97.1635,1163.9061
-50.7469,97.0826,1163.8993
-50.7139,97.0537,1163.9113
-50.6794,97.0349,1163.9496
-50.6619,97.0289,1163.9678
-50.6592,97.0325,1163.9717
-50.6665,97.0384,1163.9912
-50.6649,97.0570,1164.0172
-50.7073,97.0614,1164.0018
-50.7199,97.0833,1164.0005
-50.7362,97.0996,1163.9848
-50.7616,97.1231,1163.9613
-50.8018,97.1414,1163.9094
-50.8547,97.1530,1163.8598
-50.9088,97.1684,1163.8170
-50.9458,97.1668,1163.7827
-50.9465,97.1912,1163.7984
-50.9542,97.2047,1163.8067
-50.9342,97.2106,1163.8499
-50.9352,97.2114,1163.8585
-50.9671,97.1893,1163.8469
-50.9652,97.1695,1163.8761
-50.9796,97.1515,1163.8942
-50.9733,97.1315,1163.9054
-50.9348,97.1290,1163.9291
-50.9076,97.1302,1163.9488
-50.8844,97.1410,1163.9641
-50.8688,97.1578,1163.9567
-50.8775,97.1687,1163.9402
-50.8915,97.1782,1163.9144
-50.9140,97.1906,1163.8752
-50.9075,97.2155,1163.8720
-50.8834,97.2459,1163.8787
-50.8262,97.2740,1163.9049
-50.7757,97.2967,1163.9292
-50.7207,97.3273,1163.9549
-50.6889,97.3587,1163.9813
-50.6297,97.3965,1164.0501
-50.5606,97.3939,1164.1134
-50.4793,97.2769,1164.1969
-50.4385,97.2694,1164.2155
-50.4318,97.2856,1164.2329
-50.4265,97.2903,1164.2279
-50.4285,97.3077,1164.2150
-50.4815,97.3021,1164.1394
-50.5104,97.3127,1164.0586
-50.5282,97.3218,1164.0161
-50.5574,97.3183,1163.9729
-50.5715,97.3124,1163.9593
-50.6030,97.3236,1163.9323
-50.5928,97.3291,1163.9091
-50.5880,97.2156,1163.8392
-50.6035,97.1775,1163.7773
-50.6080,97.1851,1163.7911
-50.6211,97.1957,1163.8225
-50.6212,97.2128,1163.8388
-50.6335,97.2305,1163.8342
-50.6549,97.2550,1163.8404
-50.6670,97.2793,1163.8454
-50.6806,97.3033,1163.8461
-50.7087,97.3143,1163.8633
-50.7193,97.3205,1163.8935
-50.7331,97.3160,1163.9376
-50.7488,97.3209,1163.9379
-50.7677,97.3246,1163.9421
-50.7955,97.3182,1163.9291
-50.8234,97.3132,1163.9014
-50.8452,97.3253,1163.8505
-50.8641,97.3383,1163.8059
-50.8794,97.3557,1163.7691
-50.8933,97.3757,1163.7560
-50.9086,97.3871,1163.7186
-50.8959,97.3941,1163.7110
-50.9143,97.4032,1163.6793
-50.9445,97.4122,1163.6675
-50.9684,97.4136,1163.6954
-51.0074,97.4252,1163.7387
-51.0552,97.4302,1163.7777
-51.1036,97.4459,1163.8045
-51.1583,97.4622,1163.8188
-51.2112,97.4856,1163.8081
-51.2247,97.5109,1163.8222
-51.2448,97.5383,1163.8077
-51.2500,97.5491,1163.7966
-51.2287,97.5537,1163.8298
-51.2173,97.5545,1163.8376
-51.1854,97.5531,1163.8156
-51.1371,97.5438,1163.8163
-51.1308,97.5235,1163.7996
-51.1452,97.4908,1163.7583
-51.1280,97.4739,1163.7386
-51.1098,97.4671,1163.7384
-51.1081,97.4645,1163.7181
-51.0921,97.4684,1163.7054
-51.0722,97.4735,1163.6890
-51.0244,97.4882,1163.6842
-50.9934,97.5082,1163.6563
-50.9903,97.4945,1163.6407
-51.0432,97.4708,1163.5998
-51.0689,97.4741,1163.5915
-51.0854,97.4627,1163.5231
-51.1002,97.4516,1163.4950
-51.0904,97.4682,1163.4794
-51.0835,97.4689,1163.4842
-51.0608,97.4696,1163.5126
-51.0510,97.4628,1163.5164
-51.0289,97.4451,1163.5437
-51.0086,97.4496,1163.5449
-50.9866,97.4466,1163.5528
-50.9631,97.4519,1163.5693
-50.9643,97.4560,1163.5648
-50.9269,97.4716,1163.6052
-50.8796,97.4981,1163.6744
-50.8218,97.5327,1163.7670
-50.7979,97.5439,1163.8374
-50.7922,97.5471,1163.8911
-50.8245,97.5592,1163.8828
-50.8446,97.5808,1163.8885
-50.8374,97.6179,1163.9082
-50.8515,97.6314,1163.8908
-50.8594,97.6455,1163.8671
-50.8678,97.6563,1163.8529
-50.9015,97.6599,1163.8281
-50.9309,97.6718,1163.8018
-50.9540,97.6852,1163.7519
-50.9727,97.6861,1163.7233
-50.9538,97.6907,1163.7451
-50.9259,97.7152,1163.7535
-50.9163,97.7146,1163.7417
-50.9008,97.7214,1163.7624
-50.9186,97.7283,1163.7164
-50.9393,97.7260,1163.6534
-50.9546,97.7340,1163.5913
-51.0017,97.7419,1163.4916
-51.0626,97.7366,1163.3303
-51.1348,97.7337,1163.1296
