m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
31.2770,109.3064,1037.4010,58.6196,44.2037,1054.7603,126.4238,43.6702,1126.4495
31.2781,109.3522,1037.3997,58.5745,44.1130,1054.7043,126.4333,43.7755,1126.5557
30.8545,109.1708,1036.8166,58.5310,44.3351,1055.3677,126.2414,43.8331,1126.4164
30.8309,109.4567,1036.0961,58.1794,44.4648,1054.8797,126.5142,43.8643,1127.2887
31.2948,109.1736,1038.1424,58.6226,44.4760,1055.4842,126.3103,43.8311,1126.6422
30.8545,109.1708,1036.8166,58.1761,44.3108,1054.8847,126.4496,43.6233,1126.6683
30.8545,109.1708,1036.8166,58.6198,44.3412,1055.4886,126.4496,43.6233,1126.6683
30.8545,109.1708,1036.8166,58.5838,44.2887,1054.8443,126.4469,43.8709,1126.6777
30.8545,109.1708,1036.8166,58.5771,44.3194,1054.7184,126.5925,43.9973,1126.8750
30.8545,109.1708,1036.8166,58.5771,44.3194,1054.7184,126.4095,44.0225,1126.3670
30.8545,109.1708,1036.8166,58.1491,44.2180,1054.4057,126.5034,44.0567,1127.2038
31.2770,109.3064,1037.4010,58.1480,44.1651,1054.4074,126.5078,44.0618,1127.2442
31.2721,109.0950,1037.4072,58.1491,44.2180,1054.4057,126.5078,44.0618,1127.2442
31.2721,109.0950,1037.4072,58.1491,44.2180,1054.4057,126.4841,43.9475,1127.0105
31.2496,109.0279,1036.6725,58.1447,44.0064,1054.4126,127.0004,43.8048,1127.6979
31.2496,109.0279,1036.6725,58.5925,44.2484,1055.0091,126.9903,43.7791,1127.6037
30.8324,109.1038,1036.0828,58.6118,44.2928,1055.3882,126.6471,43.7767,1127.1466
30.4123,109.0370,1035.4980,58.6149,44.4395,1055.3834,126.6198,43.7446,1126.8993
30.4341,109.1039,1036.2309,58.6149,44.4395,1055.3834,126.6257,43.7487,1126.9524
30.4273,108.9959,1035.9306,58.6209,44.4298,1055.4946,126.3757,43.7429,1126.5743
30.4390,108.9007,1036.2133,58.5925,44.2484,1055.0091,126.4469,43.8429,1126.6902
30.4341,109.1039,1036.2309,58.6149,44.4395,1055.3834,126.3735,43.9259,1126.5925
30.4017,109.1501,1035.2657,58.5745,44.1130,1054.7043,126.4423,44.3024,1126.6848
30.8334,109.1479,1036.0816,58.6149,44.4395,1055.3834,125.9216,44.9665,1125.9924
30.8476,109.0626,1036.5159,58.5745,44.1130,1054.7043,126.9783,42.2579,1127.3933
30.8476,109.0626,1036.5159,58.5745,44.1130,1054.7043,126.8968,43.3649,1128.0272
30.4273,108.9959,1035.9306,58.5745,44.1130,1054.7043,126.6092,43.7968,1127.6698
30.8555,109.2149,1036.8153,58.6149,44.4395,1055.3834,126.4919,43.6316,1127.0436
30.8555,109.2149,1036.8153,58.6286,44.5194,1055.6191,126.4469,43.8429,1126.6902
30.8324,109.1038,1036.0828,58.5884,45.2281,1054.7805,126.4469,43.8429,1126.6902
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
30.8476,109.0626,1036.5159,58.6092,43.5147,1055.4322,126.4469,43.8429,1126.6902
