x,y,z
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
108.1602,98.5901,1609.3054
108.1430,98.6203,1609.3298
107.8135,98.6695,1609.3004
107.7622,98.8929,1609.1323
108.1139,98.7404,1610.1344
107.7401,98.5524,1609.1848
107.9620,98.5676,1609.4868
107.9426,98.6652,1609.1693
108.0121,98.7438,1609.2050
107.9206,98.7563,1608.9510
107.7535,98.7228,1609.2131
107.9664,98.7667,1609.5263
107.9645,98.6874,1609.5286
107.9526,98.6303,1609.4117
108.1973,98.4196,1609.3915
108.4162,98.5277,1609.6426
108.0456,98.5866,1609.3088
107.8235,98.6105,1608.8904
107.8373,98.6460,1609.2833
107.7120,98.5843,1608.9998
107.7393,98.4960,1608.9562
107.7112,98.7346,1609.1034
107.7092,98.7828,1608.3274
107.6850,99.2769,1608.7287
108.2002,97.7167,1609.3067
108.1595,98.2702,1609.6237
107.8055,98.4528,1609.1523
107.9812,98.6430,1609.6212
107.9655,98.7886,1609.5623
107.9339,99.0873,1608.7768
nan,nan,nan
107.9519,98.2101,1609.3191
107.9250,98.6535,1608.7468
107.9340,98.7212,1608.8992
107.7212,98.7604,1609.2795
107.9203,98.7603,1609.2055
107.9217,98.6505,1609.1945
108.2434,98.8788,1609.5500
108.1092,98.6317,1609.6851
107.8529,98.5208,1609.0014
107.7459,98.5293,1608.9912
107.7525,98.5916,1609.1978
107.9839,98.8066,1609.6174
107.7090,98.6940,1608.8143
107.6483,98.7875,1608.8301
107.7116,98.6172,1608.9021
107.7233,98.5563,1608.7782
107.6992,98.6930,1608.7349
107.7289,98.5873,1608.6403
107.5461,98.6915,1609.0564
107.9346,98.8673,1609.3639
107.9487,98.8213,1609.7213
107.7679,98.7068,1609.3583
107.7346,98.7612,1608.7946
107.9380,98.5633,1609.1055
107.9190,98.8933,1609.0787
107.9076,99.0581,1609.3988
nan,nan,nan
107.5720,97.9454,1609.0841
107.5208,98.3409,1608.9015
107.9436,98.5050,1609.3429
107.9764,98.8199,1609.3905
107.7376,99.3360,1609.0254
nan,nan,nan
107.8925,98.6883,1609.2211
107.6766,99.9027,1608.7159
108.1481,97.6952,1609.6619
107.6345,98.5744,1609.0154
107.7881,98.7208,1609.2292
107.4936,98.6992,1608.7901
107.4869,98.8211,1608.8103
107.5731,99.2597,1609.6270
nan,nan,nan
107.7511,97.6871,1608.6171
108.2227,97.4389,1609.7217
108.9747,96.3759,1609.1768
110.2493,94.3488,1607.8747
110.8102,89.1704,1605.7394
109.8891,80.4161,1600.6822
108.9198,69.0540,1594.4706
105.8926,55.3293,1586.9100
102.9967,40.1510,1576.5256
100.0664,24.1371,1566.0833
97.3023,7.9987,1552.5185
94.1797,-8.4217,1536.9276
90.8757,-23.4206,1518.7410
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
6.3408,-41.6758,1268.6585
-2.3209,-32.7626,1251.0486
-10.4335,-23.2916,1234.5348
-17.9466,-13.5151,1220.6661
-24.1305,-3.3762,1208.7048
-28.7101,6.0763,1198.7655
-32.2340,15.1802,1190.4249
-34.7344,23.7947,1183.9322
-35.8331,31.8290,1178.7489
-36.1862,39.4237,1174.5045
-36.1685,46.5743,1170.8076
-35.5413,53.8747,1168.2048
-35.3725,60.9748,1166.0236
-34.9385,68.4208,1164.7597
-36.7983,73.7515,1164.2454
-39.9594,78.1232,1163.4188
-42.8031,81.5100,1164.1279
-44.2362,82.9865,1165.1800
-44.8186,83.3731,1165.2925
-44.8243,83.1832,1166.2006
-45.4751,83.2719,1166.8709
-45.7404,83.7175,1167.0549
-45.7302,84.1375,1166.7665
-45.6035,84.3156,1167.6830
-45.8715,84.4261,1167.9108
-46.4667,84.6046,1167.9253
-46.5478,84.5892,1168.2882
-47.0373,84.6266,1168.3878
-46.8968,84.6957,1168.7500
-46.9745,84.6973,1168.8799
-46.9450,84.9870,1168.9255
-47.2414,85.0518,1168.8235
-47.2565,85.2491,1168.9300
-47.3200,85.3645,1169.0404
-47.6003,85.4312,1169.1360
-47.7043,85.6399,1168.9616
-47.6484,85.6607,1169.2101
-47.4639,85.7910,1169.2537
-47.0891,86.0441,1169.0048
-46.9213,86.2507,1168.6150
-46.3231,86.3589,1168.4195
-46.0158,86.6513,1168.1390
-45.7673,86.7794,1168.3547
-45.8534,86.8090,1167.9120
-45.7889,86.9664,1168.0144
-45.8361,86.9216,1167.7803
-45.7336,86.7728,1167.8876
-46.0598,86.6867,1167.6485
-45.8222,86.7116,1167.7216
-45.8312,86.7693,1167.7868
-45.4084,86.7855,1168.0957
-45.5672,86.6729,1167.6114
-45.6846,86.6152,1167.4540
-45.4639,86.6603,1167.3971
-45.4099,86.7245,1167.4907
-45.4034,86.5604,1167.3055
-45.2054,86.4150,1167.1927
-45.3552,86.5151,1166.9828
-45.0842,86.4410,1167.0854
-45.3886,86.2541,1167.0695
-45.0704,86.3974,1167.2504
-45.3967,86.1845,1166.9180
-45.5086,86.2374,1166.8715
-45.5275,86.1916,1166.6996
-45.5482,86.2222,1166.8917
-45.5241,86.2652,1166.9175
-45.5360,86.0566,1166.8033
-45.6215,86.0040,1166.6734
-45.6901,86.0287,1166.7803
-45.3942,85.9418,1167.0872
-45.6767,85.9031,1166.8374
-45.8291,85.8197,1166.5329
-45.5605,85.8630,1166.6637
-45.6323,85.8694,1166.6752
-45.5301,85.8863,1166.6427
-45.7250,85.8381,1166.6324
-45.6350,85.9729,1166.7364
-45.8168,85.8822,1166.4848
-45.8076,85.9683,1166.7925
-45.6466,85.9210,1166.7249
-45.4509,85.8258,1166.8559
-45.8979,85.7672,1166.3978
