m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
687.5000,479.1667,719.5488,473.2073,793.5000,322.5000
687.5000,479.2778,719.5000,473.0000,793.5000,322.5000
687.0000,479.0000,719.4000,473.0000,793.3000,322.5000
687.0000,479.3636,719.0000,473.3636,793.5000,322.5000
687.5000,478.6818,719.5000,473.3182,793.3478,322.7391
687.0000,479.0000,719.0000,473.0000,793.5000,322.5000
687.0000,479.0000,719.5000,473.0000,793.5000,322.5000
687.0000,479.0000,719.5000,473.0000,793.5000,322.8000
687.0000,479.0000,719.5000,473.0000,793.6429,323.0000
687.0000,479.0000,719.5000,473.0000,793.5000,323.0000
687.0000,479.0000,719.0000,473.0000,793.5000,323.0000
687.5000,479.1667,719.0000,472.8750,793.5000,323.0000
687.5000,478.6538,719.0000,473.0000,793.5000,323.0000
687.5000,478.6538,719.0000,473.0000,793.5000,323.0000
687.5000,478.6538,719.0000,472.5000,794.0000,322.6364
687.5000,478.6538,719.5000,473.0000,794.0000,322.6364
687.0000,479.0000,719.5000,472.6538,793.6667,322.6667
686.5000,479.0000,719.5000,473.0000,793.6667,322.6667
686.5000,479.0000,719.5000,473.0000,793.6667,322.6667
686.5000,479.0000,719.5000,473.0000,793.4294,322.6882
686.5000,479.0000,719.5000,473.0000,793.5000,322.5000
686.5000,479.0000,719.5000,473.0000,793.4294,322.6882
686.5000,479.0000,719.5000,473.0000,793.5000,323.5000
687.0000,479.1071,719.5000,473.0000,793.0000,325.0000
687.0000,479.0000,719.5000,473.0000,794.0000,319.0000
687.0000,479.0000,719.5000,473.0000,793.8333,321.8333
686.5000,479.0000,719.5000,473.0000,793.5588,322.3235
687.0000,479.1071,719.5000,473.0000,793.5000,322.5000
687.0000,479.1071,719.5000,473.0000,793.5000,322.5000
687.0000,479.0000,719.5000,473.0000,793.5000,322.5000
687.0000,479.0000,719.5000,473.0000,793.5000,322.5000
687.0000,479.0000,719.5000,473.0000,793.5000,322.5000
687.0000,479.1071,719.5000,473.0000,793.5000,322.5000
687.0000,479.1071,719.5000,473.0000,793.5000,322.5000
686.5000,479.0000,719.5000,473.0000,793.4294,322.6882
687.0000,479.0000,719.5000,473.0000,793.4294,322.6882
687.0000,479.0000,719.5000,473.0000,793.4294,322.6882
687.5000,479.0000,719.5000,473.0000,793.6667,322.6667
687.0000,479.0000,719.5000,473.0000,793.7500,322.5000
687.0000,479.0000,719.0000,472.5000,793.7500,322.5000
686.5000,479.0000,719.5000,473.0000,793.5000,322.5000
686.5000,479.0000,719.5000,473.0000,793.5000,322.5000
687.0000,479.5000,719.5000,473.0000,793.5000,322.5000
686.5000,479.0000,719.5000,473.0000,793.4294,322.6882
686.5000,479.0000,719.5000,473.0000,793.3125,323.0000
686.5000,479.0000,719.5000,473.0000,793.4294,322.6882
687.0000,479.0000,719.0000,472.5000,793.5000,322.5000
686.5000,479.0000,719.5000,473.0000,793.4294,322.6882
686.5000,479.0000,719.5000,473.0000,793.5000,322.5000
686.5000,479.0000,719.0000,473.0000,793.5000,322.5000
687.0000,479.0000,719.5000,473.0000,793.4294,322.6882
687.0000,479.1071,719.5000,473.0000,793.4294,322.6882
686.5000,479.0000,719.5000,473.0000,793.5000,322.5000
686.5000,479.0000,719.5000,473.0000,793.5000,322.5000
687.0000,479.0000,719.5000,473.0000,793.5000,322.5000
687.0000,479.0000,719.4200,473.9800,793.5000,322.5000
687.5000,478.6538,719.0909,475.4773,793.3182,322.3182
nan,nan,nan,nan,nan,nan
686.5000,479.0000,719.1000,469.5000,793.5000,322.5000
686.5000,479.0000,719.0714,471.6429,793.4294,322.6882
687.5000,478.6538,719.0000,472.6154,793.5000,322.5000
687.0000,479.0000,719.5000,473.0000,793.5000,322.5000
686.5000,479.0000,719.5000,473.0000,793.5000,322.5000
687.0000,479.5000,719.0000,473.0000,793.5000,322.5000
