x,y,z
-46.1209,85.7704,1166.5263
-46.1352,85.8092,1166.5288
-46.1635,85.8450,1166.5188
-46.2098,85.8736,1166.4772
-46.2611,85.8868,1166.4295
-46.2997,85.8963,1166.3908
-46.3320,85.8947,1166.3726
-46.3951,85.8646,1166.3121
-46.4263,85.8348,1166.2735
-46.4204,85.8102,1166.2606
-46.4022,85.7926,1166.2424
-46.3705,85.7699,1166.2213
-46.3450,85.7524,1166.1731
-46.3232,85.7298,1166.1724
-46.3312,85.6997,1166.1906
-46.3494,85.6709,1166.2091
-46.3435,85.6548,1166.2646
-46.3390,85.6325,1166.3012
-46.3556,85.6073,1166.3265
-46.3811,85.5937,1166.3397
-46.3812,85.5888,1166.3825
-46.3898,85.5731,1166.4245
-46.4070,85.5461,1166.4599
-46.4100,85.5375,1166.5083
-46.3992,85.5417,1166.5607
-46.3989,85.5520,1166.5903
-46.3848,85.5669,1166.6434
-46.3995,85.5836,1166.6415
-46.3830,85.6071,1166.6423
-46.3619,85.6316,1166.6473
-46.3555,85.6635,1166.6084
-46.3666,85.6799,1166.5965
-46.3846,85.6940,1166.6069
-46.3918,85.7218,1166.5958
-46.3694,85.7577,1166.6140
-46.3262,85.8044,1166.6452
-46.2835,85.8575,1166.6613
-46.2807,85.8931,1166.6724
-46.2921,85.9195,1166.6702
-46.3186,85.9398,1166.6813
-46.3149,85.9610,1166.6917
-46.3110,85.9752,1166.7024
-46.3024,85.9934,1166.7192
-46.2872,86.0135,1166.7442
-46.2907,86.0236,1166.7675
-46.2839,86.0443,1166.7989
-46.2872,86.0513,1166.8291
-46.3037,86.0549,1166.8505
-46.2743,86.0611,1166.9006
-46.2299,86.0773,1166.9457
-46.2127,86.0652,1166.9396
-46.1926,86.0541,1166.9346
-46.1632,86.0453,1166.9570
-46.1271,86.0275,1166.9678
-46.1025,86.0081,1166.9709
-46.0740,85.9990,1166.9909
-46.0638,86.0020,1167.0044
-46.0808,85.9935,1166.9731
-46.1016,85.9982,1166.9343
-46.1110,86.0131,1166.9289
-46.1288,86.0302,1166.9144
-46.1634,86.0538,1166.8985
-46.2143,86.0810,1166.8617
-46.2652,86.0966,1166.8243
-46.2797,86.1329,1166.8431
-46.2847,86.1794,1166.8850
-46.3248,86.2063,1166.8729
-46.3821,86.2234,1166.8251
-46.4288,86.2283,1166.7590
-46.4342,86.2287,1166.7460
-46.4477,86.2117,1166.7508
-46.4754,86.1842,1166.7774
-46.5151,86.1542,1166.8012
-46.5633,86.1161,1166.7817
-46.5997,86.0767,1166.8087
-46.6302,86.0519,1166.8396
-46.6263,86.0529,1166.8933
-46.6105,86.0695,1166.9441
-46.5823,86.0830,1167.0219
-46.5623,86.0892,1167.0820
-46.5655,86.0947,1167.1015
-46.5931,86.0907,1167.1148
-46.6336,86.0819,1167.1381
-46.6915,86.0485,1167.1666
-46.7517,86.0058,1167.1622
-46.8184,85.9610,1167.1484
-46.8616,85.9294,1167.1422
-46.9064,85.8979,1167.1351
-46.9378,85.8832,1167.1521
-46.9586,85.8750,1167.1817
-46.9955,85.8753,1167.2321
-47.0241,85.8658,1167.2768
-47.0440,85.8547,1167.3138
-47.0628,85.8451,1167.3321
-47.0780,85.8490,1167.3254
-47.0788,85.8596,1167.3470
-47.1016,85.8558,1167.3098
-47.1017,85.8511,1167.3043
-47.1151,85.8433,1167.2533
-47.1429,85.8426,1167.1818
-47.1685,85.8385,1167.0995
-47.2351,85.8391,1166.9344
-47.3116,85.8544,1166.7167
