m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
710.5000,457.5000,720.5000,299.5000,739.5000,447.0000
710.5000,457.5000,721.0000,299.5000,739.1250,447.1250
710.5000,457.5000,721.0000,299.5000,739.0714,447.3571
710.5000,457.5000,720.5000,300.0000,739.0000,447.5000
711.0000,458.0000,720.5000,300.0000,738.6667,447.5000
710.0000,457.5000,720.5000,300.0000,738.9032,447.2258
710.5000,457.5000,720.5000,300.0000,739.0000,447.0000
710.5000,457.5000,720.5000,300.0000,739.0000,447.0000
710.5000,457.5000,720.9167,299.9167,739.0000,447.2500
710.5000,457.5000,721.0000,300.0000,739.0000,447.3125
710.5000,457.5000,721.0000,300.0000,739.1765,447.4118
710.5000,457.5000,720.8077,299.8077,738.7105,447.4211
710.5000,457.5000,720.8077,299.8077,738.6882,447.4294
710.5000,457.5000,720.8077,299.8077,738.6882,447.4294
710.5000,457.5000,720.8077,299.8077,738.8125,447.1875
711.0000,457.5000,720.8077,299.8077,738.8125,447.1875
711.0000,457.5000,720.8077,299.8077,738.8636,447.1364
711.0000,457.5000,720.5727,300.2455,738.8636,447.1364
711.0000,457.5000,720.5727,300.2455,739.0000,447.0833
710.5000,457.5000,720.5727,300.2455,738.9706,447.0882
710.7000,457.3000,720.5000,300.2143,739.0000,447.0833
710.5000,457.0000,720.8077,299.8077,739.0000,447.5000
710.5000,457.5000,720.5727,300.2455,739.0000,447.5000
711.1667,457.8333,721.0000,299.5000,739.0000,447.5000
711.0000,457.5000,720.5727,300.2455,739.0000,447.5000
710.7000,457.3000,721.0000,299.5000,739.0000,447.5000
710.7000,457.3000,721.0000,299.5000,738.5000,447.0000
710.7000,457.3000,721.0000,299.5000,738.5000,447.5000
710.5000,457.5000,720.5727,300.2455,738.7907,446.9884
710.5000,457.5000,720.4231,300.4231,739.0000,447.5000
711.0000,457.5000,721.0000,302.2000,739.0000,447.5000
nan,nan,nan,nan,nan,nan
710.7000,457.3000,720.5000,298.0000,739.0000,447.5000
711.0000,458.0000,721.0000,299.5000,739.0000,447.5000
711.0000,458.0000,720.8077,299.8077,739.0000,447.5000
710.5000,457.5000,720.3462,300.3462,739.0000,447.5000
711.0000,457.5000,720.3462,300.3462,739.0000,447.5000
711.0000,457.5000,720.3462,300.3462,739.0000,447.0000
711.0000,458.0000,720.5000,300.2778,739.0000,447.5000
710.7000,457.3000,720.5727,300.2455,738.7500,447.2500
711.0000,458.0000,720.5000,300.0000,739.0000,447.0000
710.7000,457.3000,720.5727,300.2455,739.0000,447.0000
710.5000,457.5000,720.5000,300.2778,739.0000,447.0000
710.7000,457.3000,720.3462,300.3462,738.8333,447.5000
711.1667,457.8333,720.3462,300.3462,738.9706,447.0882
711.0000,458.0000,720.3462,300.3462,739.0000,447.0000
711.0000,457.5000,720.3462,300.3462,739.0000,447.0000
711.0000,457.5000,720.5727,300.2455,739.0000,447.4286
711.0000,458.0000,720.5727,300.2455,739.0000,447.0000
711.0000,458.0000,720.8077,299.8077,738.9545,447.1364
710.5000,457.5000,720.5000,300.2778,738.8333,447.5000
711.0000,458.0000,720.3462,300.3462,738.8333,447.5000
710.5000,457.5000,720.3462,300.3462,738.8333,447.5000
710.5000,457.5000,720.5000,300.2778,738.8333,447.5000
711.0000,458.0000,720.5727,300.2455,739.0000,447.5000
710.5000,457.5000,721.0000,299.5000,739.0000,447.5000
711.0000,457.5000,720.5000,300.2143,739.0000,447.5000
710.5000,457.5000,720.5000,300.2143,739.0000,447.0833
711.0000,458.0000,720.5727,300.2455,738.8333,447.5000
710.5000,457.5000,720.5727,300.2455,738.8333,447.5000
710.5000,457.0000,720.5000,300.2778,739.0000,447.5000
710.7000,457.3000,720.5000,300.2778,739.0000,447.3125
711.0000,457.5000,720.5000,300.2778,738.7273,448.0000
711.0000,458.0000,720.3462,300.3462,739.0000,450.0000
nan,nan,nan,nan,nan,nan
