,x1,y1,z1,x2,y2,z2,x1f,y1f,z1f,x2f,y2f,z2f
812,-92.93463918890991,-237.86282797009628,1294.4207310430122,60.26915660289732,-245.98367515931736,1252.4596194187425,-92.89484844443388,-237.9913464184019,1294.5409876658127,60.34872575876771,-246.02520136297872,1252.3448917503647
813,-92.89492716313733,-238.12387629832367,1294.5478824919687,60.24954216614972,-245.751305096354,1251.7095634177535,-92.86445243916381,-238.0363252137796,1294.6110831145327,60.40313134589874,-246.03494690676533,1252.336776995097
814,-92.89492716313733,-238.12387629832367,1294.5478824919687,60.732405621401625,-245.91031586839406,1253.1499578185806,-92.82902540389475,-238.06690623721832,1294.6912520952071,60.48303791365215,-246.0922158681938,1252.4326963449776
815,-92.75665402718619,-238.19780191648377,1294.8631922602567,60.66957800337316,-245.8475133815181,1252.282839907432,-92.78267278136629,-238.08817820360622,1294.7948282798354,60.52126334701137,-246.1800372171351,1252.4085357815645
816,-92.75665402718619,-238.19780191648377,1294.8631922602567,60.56365613414416,-246.66951567134424,1251.8792512911273,-92.740727656774,-238.09136001946584,1294.886488275547,60.53463873224218,-246.32349244323547,1252.4047865594132
817,-92.6581094006748,-238.01052819860743,1295.051283776864,60.5665632930018,-246.7604887763732,1253.1394654181145,-92.69621097107235,-238.0769815777637,1294.9814774510314,60.54304272254164,-246.4094524915953,1252.4880811215612
818,-92.51971504925953,-238.08444473928702,1295.3668545693,60.53717502627136,-246.4361771344266,1252.072482998851,-92.65813991344808,-238.07386327605082,1295.064246373654,60.54738857733538,-246.4370599947516,1252.4622344208783
819,-92.6581094006748,-238.01052819860743,1295.051283776864,60.577091546852046,-246.50809808640975,1252.694911643099,-92.64324580128992,-238.06916741557197,1295.095965587772,60.55329685997807,-246.4649625372166,1252.5007674474843
820,-92.6581094006748,-238.01052819860743,1295.051283776864,60.5433500437422,-246.78818262326487,1252.9335059417679,-92.62598491720065,-238.07443270788656,1295.1345016267767,60.55509726773107,-246.48581807019255,1252.5063445914145
821,-92.6581094006748,-238.01052819860743,1295.051283776864,60.5665632930018,-246.7604887763732,1253.1394654181145,-92.60348549516003,-238.09053591846111,1295.1862599608644,60.55871229092845,-246.4564181095043,1252.4401189746786
822,-92.51971504925953,-238.08444473928702,1295.3668545693,60.562745836330684,-246.02574294766515,1251.447499935137,-92.57200416673382,-238.12015717393004,1295.2598459234014,60.56087385323046,-246.3764886510161,1252.2567355055512
823,-92.47995015735144,-238.34573196823203,1295.4941696397998,60.49463341162845,-246.19525374437262,1251.0406561305258,-92.54936883321062,-238.15590648090244,1295.3149014048581,60.562577115942226,-246.35519018194063,1252.2076659872785
824,-92.51971504925953,-238.08444473928702,1295.3668545693,60.577091546852046,-246.50809808640975,1252.694911643099,-92.53844106431919,-238.16018508650703,1295.339360789952,60.5754567717749,-246.3607293452631,1252.352543470579
825,-92.51971504925953,-238.08444473928702,1295.3668545693,60.563076799794324,-246.78342555502726,1253.1506579180677,-92.53077551276327,-238.1772536521765,1295.3585057702953,60.587912006763624,-246.3418893940154,1252.4397549253345
826,-92.47995015735144,-238.34573196823203,1295.4941696397998,60.518304532917014,-246.4021725334922,1251.7782274167412,-92.52509714917544,-238.2099531213659,1295.3755143978183,60.6043501595338,-246.2496500303312,1252.407843706649
827,-92.47995015735144,-238.34573196823203,1295.4941696397998,60.64463266917319,-245.94663999062215,1252.2166020222003,-92.5270891121091,-238.22017741991738,1295.3719898737497,60.63496749186622,-246.13220824411917,1252.4802284322775
828,-92.47995015735144,-238.34573196823203,1295.4941696397998,60.68764357343532,-245.61962849080635,1251.9811664484662,-92.53708335574805,-238.20962876944844,1295.3473378791018,60.66380274468599,-246.0459476029828,1252.5958803773278
829,-92.47995015735144,-238.34573196823203,1295.4941696397998,60.674975903500524,-245.9438667923834,1252.561152701029,-92.55674336536796,-238.17655304611722,1295.2974485062603,60.68848429846037,-246.03101976707296,1252.8132715117501
830,-92.6581094006748,-238.01052819860743,1295.051283776864,60.82387483185619,-246.2721118644538,1253.9940991100168,-92.58934094218588,-238.11544791501206,1295.2140124156792,60.715229116590585,-246.03090382685028,1253.0718982403623
831,-92.6581094006748,-238.01052819860743,1295.051283776864,60.75972522426624,-245.76157924780867,1253.132700698898,-92.61060738615683,-238.072014600554,1295.156952566138,60.723669648100135,-245.9908756921143,1253.1759578687759
832,-92.6581094006748,-238.01052819860743,1295.051283776864,60.76468107706134,-245.95800290785758,1253.62999177508,-92.62408186604013,-238.0390274776069,1295.116766112367,60.72590074679421,-245.98936668873708,1253.286320017072
833,-92.6581094006748,-238.01052819860743,1295.051283776864,60.76468107706134,-245.95800290785758,1253.62999177508,-92.63200708908118,-238.01099910636037,1295.0867575496518,60.721466453517564,-245.99339133612546,1253.3384544747819
834,-92.6044563063288,-237.75748558197296,1294.9469241663435,60.77620464628206,-245.90971540925352,1253.6550824986468,-92.63570246173387,-237.9832671862097,1295.0619246568635,60.709627681304674,-246.0036222534616,1253.341024173099
835,-92.6581094006748,-238.01052819860743,1295.051283776864,60.76468107706134,-245.95800290785758,1253.62999177508,-92.64472580621866,-237.993392572704,1295.0555194506442,60.68649266917421,-246.0298127163333,1253.2902629598202
836,-92.6581094006748,-238.01052819860743,1295.051283776864,60.69723381556538,-246.08859273861933,1253.1427810160596,-92.65163712869814,-238.0008876807697,1295.0490733677937,60.650131221499024,-246.06827574417716,1253.181894311737
837,-92.6581094006748,-238.01052819860743,1295.051283776864,60.75116116597917,-246.01458850102233,1253.6004279676838,-92.65758723366916,-238.00700110835012,1295.0415041046638,60.60573297194078,-246.10364940403724,1253.0790762006009
838,-92.6581094006748,-238.01052819860743,1295.051283776864,60.75654597989298,-246.04036854516428,1253.7204469085195,-92.66356702235272,-238.01275161962803,1295.0315422632268,60.53692116587132,-246.15415682028848,1252.8884135917463
839,-92.6581094006748,-238.01052819860743,1295.051283776864,60.21846288049721,-246.06585601520146,1251.6713774299087,-92.67057236742968,-238.019097656027,1295.017520135167,60.43134727811403,-246.22390857322452,1252.5581661726758
840,-92.6581094006748,-238.01052819860743,1295.051283776864,60.26144375720487,-246.33103235321207,1252.1245549067623,-92.67976981497877,-238.02709681022128,1294.9970942116895,60.36112392324474,-246.32026612696157,1252.3748827524907
